    f                 RCS
10000000.0    6.212939491868825e-07
11000000.0    9.09601521201587e-07
12000000.0    1.2882114256747327e-06
13000000.0    1.7742536576025638e-06
14000000.0    2.3863436898165e-06
15000000.0    3.144581452541326e-06
16000000.0    4.070550231761454e-06
17000000.0    5.187315486457651e-06
18000000.0    6.5194235847661724e-06
19000000.0    8.09290045909893e-06
20000000.0    9.935250180246706e-06
21000000.0    1.2075453450466707e-05
22000000.0    1.4543966015531778e-05
23000000.0    1.737271699569045e-05
24000000.0    2.0595107135454037e-05
25000000.0    2.4246006972090953e-05
26000000.0    2.836175492266523e-05
27000000.0    3.2980155289411985e-05
28000000.0    3.8140476183188635e-05
29000000.0    4.388344736468485e-05
30000000.0    5.0251258003012316e-05
31000000.0    5.72875543512266e-05
32000000.0    6.503743733825768e-05
33000000.0    7.354746007664993e-05
34000000.0    8.286562528541962e-05
35000000.0    9.304138262725116e-05
36000000.0    0.00010412562595914754
37000000.0    0.00011617069049554805
38000000.0    0.0001292303498828107
39000000.0    0.00014335981318383304
40000000.0    0.0001586157217714608
41000000.0    0.0001750561461291933
42000000.0    0.00019274058255755035
43000000.0    0.00021172994978431458
44000000.0    0.00023208658547669902
45000000.0    0.000253874242653325
46000000.0    0.00027715808599370657
47000000.0    0.00030200468804276684
48000000.0    0.00032848202530769675
49000000.0    0.000356659474244277
50000000.0    0.00038660780712955695
51000000.0    0.0004183991878175664
52000000.0    0.00045210716737450373
53000000.0    0.0004878066795895832
54000000.0    0.0005255740363575038
55000000.0    0.0005654869229281847
56000000.0    0.0006076243930192025
57000000.0    0.0006520668637860157
58000000.0    0.0006988961106448126
59000000.0    0.0007481952619424841
60000000.0    0.0008000487934679281
61000000.0    0.0008545425227985235
62000000.0    0.0009117636034753234
63000000.0    0.0009718005190001264
64000000.0    0.0010347430766472411
65000000.0    0.001100682401082346
66000000.0    0.0011697109277805562
67000000.0    0.0012419223962352734
68000000.0    0.0013174118429491065
69000000.0    0.0013962755941976756
70000000.0    0.0014786112585566489
71000000.0    0.001564517719182003
72000000.0    0.0016540951258329608
73000000.0    0.0017474448866266106
74000000.0    0.0018446696595127863
75000000.0    0.0019458733434571957
76000000.0    0.002051161069320366
77000000.0    0.002160639190419444
78000000.0    0.0022744152727593118
79000000.0    0.0023925980849189995
80000000.0    0.0025152975875788078
81000000.0    0.002642624922672975
82000000.0    0.002774692402152167
83000000.0    0.00291161349633953
84000000.0    0.0030535028218633253
85000000.0    0.0032004761291487306
86000000.0    0.003352650289450677
87000000.0    0.003510143281408962
88000000.0    0.0036730741771063046
89000000.0    0.003841563127609356
90000000.0    0.004015731347971988
91000000.0    0.004195701101679597
92000000.0    0.004381595684512434
93000000.0    0.004573539407805359
94000000.0    0.004771657581080713
95000000.0    0.004976076494030314
96000000.0    0.005186923397821926
97000000.0    0.005404326485704949
98000000.0    0.005628414872889055
99000000.0    0.005859318575669386
100000000.0    0.006097168489770614
101000000.0    0.006342096367881894
102000000.0    0.006594234796354001
103000000.0    0.006853717171028959
104000000.0    0.007120677672172251
105000000.0    0.0073952512384766415
106000000.0    0.007677573540106146
107000000.0    0.007967780950748115
108000000.0    0.008266010518640345
109000000.0    0.008572399936540267
110000000.0    0.008887087510601587
111000000.0    0.009210212128124267
112000000.0    0.009541913224142133
113000000.0    0.009882330746812718
114000000.0    0.010231605121572646
115000000.0    0.010589877214021918
116000000.0    0.010957288291499537
117000000.0    0.011333979983312833
118000000.0    0.01172009423958213
119000000.0    0.012115773288662052
120000000.0    0.012521159593100524
121000000.0    0.01293639580409624
122000000.0    0.01336162471441463
123000000.0    0.013796989209723077
124000000.0    0.01424263221830483
125000000.0    0.014698696659111832
126000000.0    0.015165325388116125
127000000.0    0.015642661142919952
128000000.0    0.016130846485583963
129000000.0    0.01663002374363391
130000000.0    0.017140334949206297
131000000.0    0.017661921776292798
132000000.0    0.018194925476045242
133000000.0    0.018739486810101832
134000000.0    0.019295745981897015
135000000.0    0.019863842565917365
136000000.0    0.020443915434866834
137000000.0    0.02103610268470586
138000000.0    0.02164054155752882
139000000.0    0.022257368362247155
140000000.0    0.022886718393044604
141000000.0    0.02352872584557415
142000000.0    0.0241835237308664
143000000.0    0.024851243786921925
144000000.0    0.025532016387960328
145000000.0    0.02622597045130279
146000000.0    0.02693323334186453
147000000.0    0.027653930774237917
148000000.0    0.02838818671234771
149000000.0    0.02913612326666402
150000000.0    0.029897860588959442
151000000.0    0.030673516764601914
152000000.0    0.03146320770237548
153000000.0    0.032267047021827096
154000000.0    0.03308514593813849
155000000.0    0.03391761314452753
156000000.0    0.03476455469218698
157000000.0    0.03562607386777194
158000000.0    0.036502271068452816
159000000.0    0.03739324367455344
160000000.0    0.038299085919800746
161000000.0    0.039219888759215275
162000000.0    0.04015573973467847
163000000.0    0.04110672283821736
164000000.0    0.04207291837305296
165000000.0    0.043054402812464
166000000.0    0.0440512486565253
167000000.0    0.045063524286784
168000000.0    0.04609129381894491
169000000.0    0.047134616953642836
170000000.0    0.04819354882538565
171000000.0    0.04926813984976012
172000000.0    0.05035843556899894
173000000.0    0.05146447649601528
174000000.0    0.05258629795701897
175000000.0    0.053723929932835146
176000000.0    0.05487739689905707
177000000.0    0.056046717665168895
178000000.0    0.05723190521278552
179000000.0    0.058432966533165
180000000.0    0.05964990246415495
181000000.0    0.060882707526747036
182000000.0    0.062131369761417796
183000000.0    0.06339587056444808
184000000.0    0.06467618452441666
185000000.0    0.0659722792590766
186000000.0    0.06728411525283139
187000000.0    0.06861164569503386
188000000.0    0.06995481631934307
189000000.0    0.07131356524438122
190000000.0    0.07268782281594213
191000000.0    0.07407751145101027
192000000.0    0.07548254548385953
193000000.0    0.07690283101450758
194000000.0    0.07833826575980814
195000000.0    0.07978873890747674
196000000.0    0.08125413097334558
197000000.0    0.08273431366215568
198000000.0    0.08422914973219868
199000000.0    0.08573849286412683
200000000.0    0.0872621875342576
201000000.0    0.08880006889270131
202000000.0    0.09035196264664791
203000000.0    0.09191768494915149
204000000.0    0.09349704229375586
205000000.0    0.09508983141530528
206000000.0    0.09669583919729162
207000000.0    0.09831484258608196
208000000.0    0.09994660851238181
209000000.0    0.10159089382028055
210000000.0    0.10324744520423018
211000000.0    0.10491599915430108
212000000.0    0.10659628191006401
213000000.0    0.1082880094234332
214000000.0    0.10999088733081053
215000000.0    0.11170461093485798
216000000.0    0.11342886519622333
217000000.0    0.11516332473553159
218000000.0    0.1169076538459502
219000000.0    0.1186615065166233
220000000.0    0.12042452646725886
221000000.0    0.12219634719414123
222000000.0    0.12397659202782647
223000000.0    0.12576487420276625
224000000.0    0.12756079693908495
225000000.0    0.12936395353672236
226000000.0    0.13117392748213472
227000000.0    0.13299029256772302
228000000.0    0.1348126130241473
229000000.0    0.13664044366565173
230000000.0    0.1384733300485108
231000000.0    0.14031080864268225
232000000.0    0.14215240701672407
233000000.0    0.1439976440360129
234000000.0    0.14584603007426533
235000000.0    0.14769706723835208
236000000.0    0.14955024960634894
237000000.0    0.15140506347875113
238000000.0    0.15326098764274737
239000000.0    0.15511749364941615
240000000.0    0.1569740461036778
241000000.0    0.15883010296680902
242000000.0    0.1606851158712884
243000000.0    0.16253853044771893
244000000.0    0.1643897866635359
245000000.0    0.16623831917317708
246000000.0    0.16808355767937044
247000000.0    0.16992492730515105
248000000.0    0.17176184897619723
249000000.0    0.1735937398130444
250000000.0    0.17542001353270403
251000000.0    0.1772400808591896
252000000.0    0.17905334994241992
253000000.0    0.18085922678494815
254000000.0    0.18265711567593382
255000000.0    0.1844464196317579
256000000.0    0.18622654084265083
257000000.0    0.1879968811246836
258000000.0    0.18975684237645618
259000000.0    0.19150582703979233
260000000.0    0.1932432385637371
261000000.0    0.19496848187113602
262000000.0    0.19668096382706335
263000000.0    0.19838009370835472
264000000.0    0.20006528367348633
265000000.0    0.2017359492320431
266000000.0    0.203391509713005
267000000.0    0.20503138873108206
268000000.0    0.20665501465032574
269000000.0    0.20826182104424693
270000000.0    0.20985124715167058
271000000.0    0.21142273832756875
272000000.0    0.21297574648811385
273000000.0    0.21450973054921027
274000000.0    0.21602415685776957
275000000.0    0.2175184996150148
276000000.0    0.21899224129110703
277000000.0    0.220444873030413
278000000.0    0.22187589504675154
279000000.0    0.22328481700797406
280000000.0    0.2246711584092638
281000000.0    0.22603444893456157
282000000.0    0.22737422880555416
283000000.0    0.22869004911768925
284000000.0    0.22998147216270984
285000000.0    0.23124807173723905
286000000.0    0.2324894334369718
287000000.0    0.2337051549360636
288000000.0    0.2348948462513534
289000000.0    0.23605812999107367
290000000.0    0.23719464158775663
291000000.0    0.2383040295150678
292000000.0    0.23938595548834807
293000000.0    0.24044009464866803
294000000.0    0.24146613573025397
295000000.0    0.2424637812111673
296000000.0    0.24343274744716517
297000000.0    0.24437276478870754
298000000.0    0.24528357768110817
299000000.0    0.2461649447478686
300000000.0    0.24701663885726924
301000000.0    0.24783844717232398
302000000.0    0.24863017118424183
303000000.0    0.2493916267295756
304000000.0    0.25012264399125966
305000000.0    0.2508230674837859
306000000.0    0.25149275602278154
307000000.0    0.2521315826792906
308000000.0    0.2527394347190882
309000000.0    0.25331621352737527
310000000.0    0.2538618345192376
311000000.0    0.2543762270362627
312000000.0    0.2548593342297446
313000000.0    0.25531111293090797
314000000.0    0.25573153350862116
315000000.0    0.2561205797150688
316000000.0    0.2564782485198743
317000000.0    0.25680454993318375
318000000.0    0.2570995068182149
319000000.0    0.2573631546938099
320000000.0    0.2575955415275144
321000000.0    0.257796727519731
322000000.0    0.25796678487948804
323000000.0    0.2581057975923715
324000000.0    0.2582138611811768
325000000.0    0.2582910824598195
326000000.0    0.258337579281069
327000000.0    0.25835348027863936
328000000.0    0.25833892460418745
329000000.0    0.25829406165975655
330000000.0    0.25821905082619384
331000000.0    0.2581140611880698
332000000.0    0.2579792712556139
333000000.0    0.2578148686841714
334000000.0    0.25762104999168106
335000000.0    0.2573980202746546
336000000.0    0.2571459929231313
337000000.0    0.25686518933506913
338000000.0    0.2565558386306131
339000000.0    0.256218177366679
340000000.0    0.25585244925226364
341000000.0    0.2554589048648851
342000000.0    0.2550378013685391
343000000.0    0.25458940223354204
344000000.0    0.25411397695861093
345000000.0    0.253611800795521
346000000.0    0.25308315447665775
347000000.0    0.25252832394577285
348000000.0    0.25194760009222067
349000000.0    0.25134127848895604
350000000.0    0.2507096591345395
351000000.0    0.25005304619938795
352000000.0    0.24937174777649107
353000000.0    0.2486660756367989
354000000.0    0.24793634498946066
355000000.0    0.24718287424709615
356000000.0    0.24640598479624748
357000000.0    0.24560600077315384
358000000.0    0.24478324884497693
359000000.0    0.24393805799658436
360000000.0    0.24307075932298977
361000000.0    0.24218168582752952
362000000.0    0.24127117222585093
363000000.0    0.2403395547557592
364000000.0    0.23938717099297593
365000000.0    0.23841435967283695
366000000.0    0.23742146051794535
367000000.0    0.23640881407179762
368000000.0    0.23537676153837284
369000000.0    0.23432564462767805
370000000.0    0.23325580540722665
371000000.0    0.232167586159417
372000000.0    0.23106132924477701
373000000.0    0.22993737697102176
374000000.0    0.22879607146787
375000000.0    0.2276377545675597
376000000.0    0.2264627676909886
377000000.0    0.22527145173940719
378000000.0    0.22406414699158037
379000000.0    0.22284119300633012
380000000.0    0.22160292853036828
381000000.0    0.22034969141131955
382000000.0    0.21908181851583639
383000000.0    0.21779964565269613
384000000.0    0.21650350750077496
385000000.0    0.21519373754178484
386000000.0    0.2138706679976577
387000000.0    0.21253462977246043
388000000.0    0.2111859523987212
389000000.0    0.20982496398804182
390000000.0    0.20845199118587898
391000000.0    0.20706735913036398
392000000.0    0.20567139141503948
393000000.0    0.20426441005538298
394000000.0    0.20284673545899295
395000000.0    0.20141868639930988
396000000.0    0.19998057999274335
397000000.0    0.1985327316790781
398000000.0    0.19707545520503408
399000000.0    0.1956090626108496
400000000.0    0.19413386421976545
401000000.0    0.19265016863028325
402000000.0    0.19115828271107177
403000000.0    0.1896585115984006
404000000.0    0.18815115869597757
405000000.0    0.18663652567706807
406000000.0    0.18511491248877834
407000000.0    0.18358661735838291
408000000.0    0.18205193680158016
409000000.0    0.18051116563256267
410000000.0    0.17896459697578374
411000000.0    0.17741252227931556
412000000.0    0.1758552313296831
413000000.0    0.17429301226807037
414000000.0    0.1727261516077884
415000000.0    0.17115493425290404
416000000.0    0.1695796435179278
417000000.0    0.1680005611484568
418000000.0    0.1664179673426782
419000000.0    0.16483214077363537
420000000.0    0.16324335861216185
421000000.0    0.16165189655039297
422000000.0    0.16005802882576237
423000000.0    0.15846202824539743
424000000.0    0.15686416621082774
425000000.0    0.15526471274291753
426000000.0    0.15366393650694957
427000000.0    0.15206210483776977
428000000.0    0.15045948376492277
429000000.0    0.14885633803769785
430000000.0    0.147252931150013
431000000.0    0.1456495253650634
432000000.0    0.14404638173966675
433000000.0    0.14244376014823493
434000000.0    0.14084191930630613
435000000.0    0.1392411167935731
436000000.0    0.1376416090763461
437000000.0    0.13604365152938805
438000000.0    0.134447498457064
439000000.0    0.13285340311374752
440000000.0    0.1312616177234293
441000000.0    0.1296723934984733
442000000.0    0.1280859806574714
443000000.0    0.1265026284421427
444000000.0    0.12492258513323319
445000000.0    0.12334609806536614
446000000.0    0.12177341364080155
447000000.0    0.12020477734205913
448000000.0    0.11864043374336454
449000000.0    0.11708062652087887
450000000.0    0.11552559846167602
451000000.0    0.11397559147142501
452000000.0    0.11243084658075214
453000000.0    0.1108916039502409
454000000.0    0.10935810287404463
455000000.0    0.10783058178208005
456000000.0    0.10630927824077231
457000000.0    0.10479442895232788
458000000.0    0.1032862697525095
